Amostrador,Energy
SimulatedAnnealing,30.0
SimulatedAnnealing,36.0
SimulatedAnnealing,18.0
SimulatedAnnealing,12.0
SimulatedAnnealing,30.0
SimulatedAnnealing,30.0
SimulatedAnnealing,30.0
SimulatedAnnealing,36.0
SimulatedAnnealing,36.0
SimulatedAnnealing,12.0
SimulatedAnnealing,36.0
SimulatedAnnealing,54.0
SimulatedAnnealing,30.0
SimulatedAnnealing,12.0
SimulatedAnnealing,6.0
SimulatedAnnealing,6.0
SimulatedAnnealing,12.0
SimulatedAnnealing,12.0
SimulatedAnnealing,36.0
SimulatedAnnealing,30.0
SimulatedAnnealing,12.0
SimulatedAnnealing,30.0
SimulatedAnnealing,30.0
SimulatedAnnealing,30.0
SimulatedAnnealing,6.0
SimulatedAnnealing,18.0
SimulatedAnnealing,12.0
SimulatedAnnealing,18.0
SimulatedAnnealing,6.0
SimulatedAnnealing,12.0
SimulatedAnnealing,30.0
SimulatedAnnealing,36.0
SimulatedAnnealing,30.0
SimulatedAnnealing,36.0
SimulatedAnnealing,30.0
SimulatedAnnealing,18.0
SimulatedAnnealing,12.0
SimulatedAnnealing,12.0
SimulatedAnnealing,30.0
SimulatedAnnealing,18.0
SimulatedAnnealing,36.0
SimulatedAnnealing,30.0
SimulatedAnnealing,36.0
SimulatedAnnealing,18.0
SimulatedAnnealing,12.0
SimulatedAnnealing,36.0
SimulatedAnnealing,54.0
SimulatedAnnealing,36.0
SimulatedAnnealing,36.0
SimulatedAnnealing,36.0
SimulatedAnnealing,30.0
SimulatedAnnealing,30.0
SimulatedAnnealing,18.0
SimulatedAnnealing,30.0
SimulatedAnnealing,6.0
SimulatedAnnealing,12.0
SimulatedAnnealing,12.0
SimulatedAnnealing,36.0
SimulatedAnnealing,54.0
SimulatedAnnealing,30.0
SimulatedAnnealing,12.0
SimulatedAnnealing,18.0
SimulatedAnnealing,54.0
SimulatedAnnealing,12.0
SimulatedAnnealing,12.0
SimulatedAnnealing,12.0
SimulatedAnnealing,12.0
SimulatedAnnealing,6.0
SimulatedAnnealing,12.0
SimulatedAnnealing,30.0
SimulatedAnnealing,30.0
SimulatedAnnealing,12.0
SimulatedAnnealing,6.0
SimulatedAnnealing,12.0
SimulatedAnnealing,12.0
SimulatedAnnealing,30.0
SimulatedAnnealing,18.0
SimulatedAnnealing,6.0
SimulatedAnnealing,12.0
SimulatedAnnealing,12.0
SimulatedAnnealing,12.0
SimulatedAnnealing,30.0
SimulatedAnnealing,12.0
SimulatedAnnealing,36.0
SimulatedAnnealing,30.0
SimulatedAnnealing,12.0
SimulatedAnnealing,12.0
SimulatedAnnealing,18.0
SimulatedAnnealing,36.0
SimulatedAnnealing,6.0
SimulatedAnnealing,30.0
SimulatedAnnealing,6.0
SimulatedAnnealing,12.0
SimulatedAnnealing,36.0
SimulatedAnnealing,54.0
SimulatedAnnealing,12.0
SimulatedAnnealing,12.0
SimulatedAnnealing,30.0
SimulatedAnnealing,12.0
SimulatedAnnealing,36.0
SimulatedAnnealing,36.0
SimulatedAnnealing,12.0
SimulatedAnnealing,30.0
SimulatedAnnealing,12.0
SimulatedAnnealing,12.0
SimulatedAnnealing,30.0
SimulatedAnnealing,36.0
SimulatedAnnealing,12.0
SimulatedAnnealing,6.0
SimulatedAnnealing,12.0
SimulatedAnnealing,54.0
SimulatedAnnealing,12.0
SimulatedAnnealing,18.0
SimulatedAnnealing,12.0
SimulatedAnnealing,36.0
SimulatedAnnealing,18.0
SimulatedAnnealing,6.0
SimulatedAnnealing,12.0
SimulatedAnnealing,30.0
SimulatedAnnealing,30.0
SimulatedAnnealing,30.0
SimulatedAnnealing,30.0
SimulatedAnnealing,12.0
SimulatedAnnealing,6.0
SimulatedAnnealing,30.0
SimulatedAnnealing,12.0
SimulatedAnnealing,12.0
SimulatedAnnealing,12.0
SimulatedAnnealing,12.0
SimulatedAnnealing,6.0
SimulatedAnnealing,12.0
SimulatedAnnealing,12.0
SimulatedAnnealing,6.0
SimulatedAnnealing,18.0
SimulatedAnnealing,30.0
SimulatedAnnealing,54.0
SimulatedAnnealing,12.0
SimulatedAnnealing,12.0
SimulatedAnnealing,54.0
SimulatedAnnealing,12.0
SimulatedAnnealing,18.0
SimulatedAnnealing,12.0
SimulatedAnnealing,30.0
SimulatedAnnealing,30.0
SimulatedAnnealing,12.0
SimulatedAnnealing,30.0
SimulatedAnnealing,12.0
SimulatedAnnealing,12.0
SimulatedAnnealing,36.0
SimulatedAnnealing,30.0
SimulatedAnnealing,12.0
SimulatedAnnealing,12.0
SimulatedAnnealing,6.0
SimulatedAnnealing,12.0
SimulatedAnnealing,12.0
SimulatedAnnealing,36.0
SimulatedAnnealing,12.0
SimulatedAnnealing,18.0
SimulatedAnnealing,12.0
SimulatedAnnealing,12.0
SimulatedAnnealing,6.0
SimulatedAnnealing,12.0
SimulatedAnnealing,30.0
SimulatedAnnealing,6.0
SimulatedAnnealing,54.0
SimulatedAnnealing,12.0
SimulatedAnnealing,30.0
SimulatedAnnealing,36.0
SimulatedAnnealing,6.0
SimulatedAnnealing,30.0
SimulatedAnnealing,36.0
SimulatedAnnealing,6.0
SimulatedAnnealing,6.0
SimulatedAnnealing,18.0
SimulatedAnnealing,12.0
SimulatedAnnealing,30.0
SimulatedAnnealing,30.0
SimulatedAnnealing,12.0
SimulatedAnnealing,6.0
SimulatedAnnealing,12.0
SimulatedAnnealing,12.0
SimulatedAnnealing,12.0
SimulatedAnnealing,54.0
SimulatedAnnealing,12.0
SimulatedAnnealing,30.0
SimulatedAnnealing,36.0
SimulatedAnnealing,6.0
SimulatedAnnealing,30.0
SimulatedAnnealing,36.0
SimulatedAnnealing,6.0
SimulatedAnnealing,30.0
SimulatedAnnealing,30.0
SimulatedAnnealing,36.0
SimulatedAnnealing,18.0
SimulatedAnnealing,36.0
SimulatedAnnealing,6.0
SimulatedAnnealing,12.0
SimulatedAnnealing,30.0
SimulatedAnnealing,36.0
SimulatedAnnealing,30.0
SimulatedAnnealing,30.0
SimulatedAnnealing,30.0
SimulatedAnnealing,12.0
SimulatedAnnealing,30.0
SimulatedAnnealing,6.0
SimulatedAnnealing,12.0
SimulatedAnnealing,18.0
SimulatedAnnealing,30.0
SimulatedAnnealing,30.0
SimulatedAnnealing,36.0
SimulatedAnnealing,12.0
SimulatedAnnealing,30.0
SimulatedAnnealing,12.0
SimulatedAnnealing,12.0
SimulatedAnnealing,30.0
SimulatedAnnealing,36.0
SimulatedAnnealing,6.0
SimulatedAnnealing,12.0
SimulatedAnnealing,36.0
SimulatedAnnealing,30.0
SimulatedAnnealing,36.0
SimulatedAnnealing,12.0
SimulatedAnnealing,36.0
SimulatedAnnealing,36.0
SimulatedAnnealing,12.0
SimulatedAnnealing,6.0
SimulatedAnnealing,6.0
SimulatedAnnealing,36.0
SimulatedAnnealing,231.0
SimulatedAnnealing,36.0
SimulatedAnnealing,30.0
SimulatedAnnealing,12.0
SimulatedAnnealing,6.0
SimulatedAnnealing,12.0
SimulatedAnnealing,12.0
SimulatedAnnealing,30.0
SimulatedAnnealing,12.0
SimulatedAnnealing,30.0
SimulatedAnnealing,18.0
SimulatedAnnealing,12.0
SimulatedAnnealing,36.0
SimulatedAnnealing,36.0
SimulatedAnnealing,30.0
SimulatedAnnealing,36.0
SimulatedAnnealing,36.0
SimulatedAnnealing,36.0
SimulatedAnnealing,12.0
SimulatedAnnealing,36.0
SimulatedAnnealing,30.0
SimulatedAnnealing,12.0
SimulatedAnnealing,225.0
SimulatedAnnealing,6.0
SimulatedAnnealing,18.0
SimulatedAnnealing,18.0
SimulatedAnnealing,6.0
SimulatedAnnealing,30.0
SimulatedAnnealing,12.0
SimulatedAnnealing,12.0
SimulatedAnnealing,36.0
SimulatedAnnealing,12.0
SimulatedAnnealing,30.0
SimulatedAnnealing,30.0
SimulatedAnnealing,30.0
SimulatedAnnealing,30.0
SimulatedAnnealing,12.0
SimulatedAnnealing,12.0
SimulatedAnnealing,54.0
SimulatedAnnealing,30.0
SimulatedAnnealing,54.0
SimulatedAnnealing,18.0
SimulatedAnnealing,12.0
SimulatedAnnealing,12.0
SimulatedAnnealing,12.0
SimulatedAnnealing,30.0
SimulatedAnnealing,36.0
SimulatedAnnealing,54.0
SimulatedAnnealing,12.0
SimulatedAnnealing,36.0
SimulatedAnnealing,12.0
SimulatedAnnealing,54.0
SimulatedAnnealing,36.0
SimulatedAnnealing,36.0
SimulatedAnnealing,12.0
SimulatedAnnealing,6.0
SimulatedAnnealing,30.0
SimulatedAnnealing,12.0
SimulatedAnnealing,12.0
SimulatedAnnealing,12.0
SimulatedAnnealing,30.0
SimulatedAnnealing,12.0
SimulatedAnnealing,12.0
SimulatedAnnealing,6.0
SimulatedAnnealing,36.0
SimulatedAnnealing,36.0
SimulatedAnnealing,30.0
SimulatedAnnealing,12.0
SimulatedAnnealing,36.0
SimulatedAnnealing,12.0
SimulatedAnnealing,12.0
SimulatedAnnealing,30.0
SimulatedAnnealing,36.0
SimulatedAnnealing,12.0
SimulatedAnnealing,30.0
SimulatedAnnealing,18.0
SimulatedAnnealing,12.0
SimulatedAnnealing,36.0
SimulatedAnnealing,30.0
SimulatedAnnealing,12.0
SimulatedAnnealing,12.0
SimulatedAnnealing,18.0
SimulatedAnnealing,12.0
SimulatedAnnealing,12.0
SimulatedAnnealing,18.0
SimulatedAnnealing,12.0
SimulatedAnnealing,36.0
SimulatedAnnealing,12.0
SimulatedAnnealing,12.0
SimulatedAnnealing,36.0
SimulatedAnnealing,12.0
SimulatedAnnealing,18.0
SimulatedAnnealing,30.0
SimulatedAnnealing,30.0
SimulatedAnnealing,12.0
SimulatedAnnealing,12.0
SimulatedAnnealing,18.0
SimulatedAnnealing,12.0
SimulatedAnnealing,36.0
SimulatedAnnealing,12.0
SimulatedAnnealing,12.0
SimulatedAnnealing,30.0
SimulatedAnnealing,12.0
SimulatedAnnealing,36.0
SimulatedAnnealing,12.0
SimulatedAnnealing,6.0
SimulatedAnnealing,54.0
SimulatedAnnealing,36.0
SimulatedAnnealing,18.0
SimulatedAnnealing,12.0
SimulatedAnnealing,12.0
SimulatedAnnealing,36.0
SimulatedAnnealing,12.0
SimulatedAnnealing,36.0
SimulatedAnnealing,36.0
SimulatedAnnealing,30.0
SimulatedAnnealing,30.0
SimulatedAnnealing,12.0
SimulatedAnnealing,12.0
SimulatedAnnealing,30.0
SimulatedAnnealing,18.0
SimulatedAnnealing,12.0
SimulatedAnnealing,30.0
SimulatedAnnealing,12.0
SimulatedAnnealing,18.0
SimulatedAnnealing,12.0
SimulatedAnnealing,30.0
SimulatedAnnealing,12.0
SimulatedAnnealing,12.0
SimulatedAnnealing,30.0
SimulatedAnnealing,30.0
SimulatedAnnealing,30.0
SimulatedAnnealing,30.0
SimulatedAnnealing,12.0
SimulatedAnnealing,36.0
SimulatedAnnealing,54.0
SimulatedAnnealing,6.0
SimulatedAnnealing,6.0
SimulatedAnnealing,30.0
SimulatedAnnealing,30.0
SimulatedAnnealing,12.0
SimulatedAnnealing,18.0
SimulatedAnnealing,12.0
SimulatedAnnealing,30.0
SimulatedAnnealing,18.0
SimulatedAnnealing,12.0
SimulatedAnnealing,18.0
SimulatedAnnealing,30.0
SimulatedAnnealing,12.0
SimulatedAnnealing,12.0
SimulatedAnnealing,36.0
SimulatedAnnealing,12.0
SimulatedAnnealing,30.0
SimulatedAnnealing,30.0
SimulatedAnnealing,54.0
SimulatedAnnealing,36.0
SimulatedAnnealing,30.0
SimulatedAnnealing,36.0
SimulatedAnnealing,12.0
SimulatedAnnealing,12.0
SimulatedAnnealing,12.0
SimulatedAnnealing,18.0
SimulatedAnnealing,12.0
SimulatedAnnealing,54.0
SimulatedAnnealing,30.0
SimulatedAnnealing,30.0
SimulatedAnnealing,12.0
SimulatedAnnealing,12.0
SimulatedAnnealing,30.0
SimulatedAnnealing,12.0
SimulatedAnnealing,30.0
SimulatedAnnealing,30.0
SimulatedAnnealing,18.0
SimulatedAnnealing,6.0
SimulatedAnnealing,12.0
SimulatedAnnealing,12.0
SimulatedAnnealing,36.0
SimulatedAnnealing,12.0
SimulatedAnnealing,36.0
SimulatedAnnealing,12.0
SimulatedAnnealing,18.0
SimulatedAnnealing,36.0
SimulatedAnnealing,6.0
SimulatedAnnealing,30.0
SimulatedAnnealing,12.0
SimulatedAnnealing,12.0
SimulatedAnnealing,12.0
SimulatedAnnealing,30.0
SimulatedAnnealing,36.0
SimulatedAnnealing,36.0
SimulatedAnnealing,6.0
SimulatedAnnealing,12.0
SimulatedAnnealing,18.0
SimulatedAnnealing,12.0
SimulatedAnnealing,12.0
SimulatedAnnealing,12.0
SimulatedAnnealing,6.0
SimulatedAnnealing,12.0
SimulatedAnnealing,18.0
SimulatedAnnealing,30.0
SimulatedAnnealing,30.0
SimulatedAnnealing,18.0
SimulatedAnnealing,12.0
SimulatedAnnealing,12.0
SimulatedAnnealing,30.0
SimulatedAnnealing,18.0
SimulatedAnnealing,30.0
SimulatedAnnealing,12.0
SimulatedAnnealing,12.0
SimulatedAnnealing,36.0
SimulatedAnnealing,36.0
SimulatedAnnealing,54.0
SimulatedAnnealing,12.0
SimulatedAnnealing,36.0
SimulatedAnnealing,18.0
SimulatedAnnealing,36.0
SimulatedAnnealing,36.0
SimulatedAnnealing,30.0
SimulatedAnnealing,12.0
SimulatedAnnealing,6.0
SimulatedAnnealing,12.0
SimulatedAnnealing,30.0
SimulatedAnnealing,12.0
SimulatedAnnealing,12.0
SimulatedAnnealing,12.0
SimulatedAnnealing,36.0
SimulatedAnnealing,12.0
SimulatedAnnealing,12.0
SimulatedAnnealing,12.0
SimulatedAnnealing,36.0
SimulatedAnnealing,30.0
SimulatedAnnealing,12.0
SimulatedAnnealing,12.0
SimulatedAnnealing,12.0
SimulatedAnnealing,36.0
SimulatedAnnealing,12.0
SimulatedAnnealing,30.0
SimulatedAnnealing,12.0
SimulatedAnnealing,6.0
SimulatedAnnealing,12.0
SimulatedAnnealing,18.0
SimulatedAnnealing,12.0
SimulatedAnnealing,6.0
SimulatedAnnealing,6.0
SimulatedAnnealing,12.0
SimulatedAnnealing,30.0
SimulatedAnnealing,36.0
SimulatedAnnealing,36.0
SimulatedAnnealing,12.0
SimulatedAnnealing,12.0
SimulatedAnnealing,30.0
SimulatedAnnealing,12.0
SimulatedAnnealing,30.0
SimulatedAnnealing,36.0
SimulatedAnnealing,12.0
SimulatedAnnealing,18.0
SimulatedAnnealing,12.0
SimulatedAnnealing,12.0
SimulatedAnnealing,12.0
SimulatedAnnealing,30.0
SimulatedAnnealing,36.0
SimulatedAnnealing,18.0
SimulatedAnnealing,6.0
SimulatedAnnealing,36.0
SimulatedAnnealing,30.0
SimulatedAnnealing,12.0
SimulatedAnnealing,30.0
SimulatedAnnealing,36.0
SimulatedAnnealing,6.0
SimulatedAnnealing,12.0
SimulatedAnnealing,36.0
SimulatedAnnealing,36.0
SimulatedAnnealing,12.0
SimulatedAnnealing,30.0
SimulatedAnnealing,12.0
SimulatedAnnealing,30.0
SimulatedAnnealing,12.0
SimulatedAnnealing,12.0
SimulatedAnnealing,12.0
SimulatedAnnealing,12.0
SimulatedAnnealing,36.0
SimulatedAnnealing,18.0
SimulatedAnnealing,30.0
SimulatedAnnealing,12.0
SimulatedAnnealing,12.0
SimulatedAnnealing,12.0
SimulatedAnnealing,36.0
SimulatedAnnealing,12.0
SimulatedAnnealing,54.0
SimulatedAnnealing,12.0
SimulatedAnnealing,30.0
SimulatedAnnealing,12.0
SimulatedAnnealing,30.0
SimulatedAnnealing,36.0
SimulatedAnnealing,18.0
SimulatedAnnealing,30.0
SimulatedAnnealing,6.0
SimulatedAnnealing,12.0
SimulatedAnnealing,30.0
SimulatedAnnealing,30.0
SimulatedAnnealing,18.0
SimulatedAnnealing,6.0
SimulatedAnnealing,12.0
SimulatedAnnealing,12.0
SimulatedAnnealing,12.0
SimulatedAnnealing,30.0
SimulatedAnnealing,6.0
SimulatedAnnealing,12.0
SimulatedAnnealing,18.0
SimulatedAnnealing,30.0
SimulatedAnnealing,30.0
SimulatedAnnealing,12.0
SimulatedAnnealing,12.0
SimulatedAnnealing,30.0
SimulatedAnnealing,6.0
SimulatedAnnealing,12.0
SimulatedAnnealing,12.0
SimulatedAnnealing,30.0
SimulatedAnnealing,18.0
SimulatedAnnealing,30.0
SimulatedAnnealing,18.0
SimulatedAnnealing,12.0
SimulatedAnnealing,36.0
SimulatedAnnealing,12.0
SimulatedAnnealing,36.0
SimulatedAnnealing,36.0
SimulatedAnnealing,12.0
SimulatedAnnealing,36.0
SimulatedAnnealing,12.0
SimulatedAnnealing,36.0
SimulatedAnnealing,12.0
SimulatedAnnealing,36.0
SimulatedAnnealing,36.0
SimulatedAnnealing,30.0
SimulatedAnnealing,12.0
SimulatedAnnealing,36.0
SimulatedAnnealing,36.0
SimulatedAnnealing,30.0
SimulatedAnnealing,36.0
SimulatedAnnealing,30.0
SimulatedAnnealing,12.0
SimulatedAnnealing,54.0
SimulatedAnnealing,54.0
SimulatedAnnealing,30.0
SimulatedAnnealing,12.0
SimulatedAnnealing,12.0
SimulatedAnnealing,6.0
SimulatedAnnealing,36.0
SimulatedAnnealing,18.0
SimulatedAnnealing,36.0
SimulatedAnnealing,30.0
SimulatedAnnealing,12.0
SimulatedAnnealing,12.0
SimulatedAnnealing,12.0
SimulatedAnnealing,6.0
SimulatedAnnealing,12.0
SimulatedAnnealing,36.0
SimulatedAnnealing,12.0
SimulatedAnnealing,30.0
SimulatedAnnealing,12.0
SimulatedAnnealing,36.0
SimulatedAnnealing,36.0
SimulatedAnnealing,36.0
SimulatedAnnealing,6.0
SimulatedAnnealing,12.0
SimulatedAnnealing,12.0
SimulatedAnnealing,6.0
SimulatedAnnealing,12.0
SimulatedAnnealing,36.0
SimulatedAnnealing,30.0
SimulatedAnnealing,12.0
SimulatedAnnealing,54.0
SimulatedAnnealing,30.0
SimulatedAnnealing,6.0
SimulatedAnnealing,12.0
SimulatedAnnealing,30.0
SimulatedAnnealing,12.0
SimulatedAnnealing,12.0
SimulatedAnnealing,36.0
SimulatedAnnealing,12.0
SimulatedAnnealing,30.0
SimulatedAnnealing,36.0
SimulatedAnnealing,12.0
SimulatedAnnealing,12.0
SimulatedAnnealing,12.0
SimulatedAnnealing,30.0
SimulatedAnnealing,12.0
SimulatedAnnealing,30.0
SimulatedAnnealing,30.0
SimulatedAnnealing,12.0
SimulatedAnnealing,18.0
SimulatedAnnealing,12.0
SimulatedAnnealing,12.0
SimulatedAnnealing,12.0
SimulatedAnnealing,36.0
SimulatedAnnealing,30.0
SimulatedAnnealing,12.0
SimulatedAnnealing,30.0
SimulatedAnnealing,12.0
SimulatedAnnealing,12.0
SimulatedAnnealing,30.0
SimulatedAnnealing,30.0
SimulatedAnnealing,12.0
SimulatedAnnealing,30.0
SimulatedAnnealing,30.0
SimulatedAnnealing,36.0
SimulatedAnnealing,6.0
SimulatedAnnealing,12.0
SimulatedAnnealing,30.0
SimulatedAnnealing,12.0
SimulatedAnnealing,18.0
SimulatedAnnealing,12.0
SimulatedAnnealing,30.0
SimulatedAnnealing,36.0
SimulatedAnnealing,12.0
SimulatedAnnealing,12.0
SimulatedAnnealing,30.0
SimulatedAnnealing,36.0
SimulatedAnnealing,6.0
SimulatedAnnealing,12.0
SimulatedAnnealing,6.0
SimulatedAnnealing,54.0
SimulatedAnnealing,36.0
SimulatedAnnealing,12.0
SimulatedAnnealing,30.0
SimulatedAnnealing,12.0
SimulatedAnnealing,30.0
SimulatedAnnealing,36.0
SimulatedAnnealing,36.0
SimulatedAnnealing,6.0
SimulatedAnnealing,54.0
SimulatedAnnealing,30.0
SimulatedAnnealing,12.0
SimulatedAnnealing,12.0
SimulatedAnnealing,30.0
SimulatedAnnealing,36.0
SimulatedAnnealing,12.0
SimulatedAnnealing,30.0
SimulatedAnnealing,30.0
SimulatedAnnealing,30.0
SimulatedAnnealing,18.0
SimulatedAnnealing,12.0
SimulatedAnnealing,12.0
SimulatedAnnealing,36.0
SimulatedAnnealing,18.0
SimulatedAnnealing,30.0
SimulatedAnnealing,36.0
SimulatedAnnealing,30.0
SimulatedAnnealing,12.0
SimulatedAnnealing,30.0
SimulatedAnnealing,36.0
SimulatedAnnealing,6.0
SimulatedAnnealing,36.0
SimulatedAnnealing,36.0
SimulatedAnnealing,30.0
SimulatedAnnealing,30.0
SimulatedAnnealing,12.0
SimulatedAnnealing,30.0
SimulatedAnnealing,18.0
SimulatedAnnealing,30.0
SimulatedAnnealing,12.0
SimulatedAnnealing,36.0
SimulatedAnnealing,6.0
SimulatedAnnealing,12.0
SimulatedAnnealing,6.0
SimulatedAnnealing,12.0
SimulatedAnnealing,36.0
SimulatedAnnealing,12.0
SimulatedAnnealing,12.0
SimulatedAnnealing,12.0
SimulatedAnnealing,12.0
SimulatedAnnealing,30.0
SimulatedAnnealing,12.0
SimulatedAnnealing,12.0
SimulatedAnnealing,30.0
SimulatedAnnealing,30.0
SimulatedAnnealing,6.0
SimulatedAnnealing,30.0
SimulatedAnnealing,30.0
SimulatedAnnealing,36.0
SimulatedAnnealing,30.0
SimulatedAnnealing,36.0
SimulatedAnnealing,12.0
SimulatedAnnealing,12.0
SimulatedAnnealing,12.0
SimulatedAnnealing,12.0
SimulatedAnnealing,36.0
SimulatedAnnealing,12.0
SimulatedAnnealing,30.0
SimulatedAnnealing,12.0
SimulatedAnnealing,54.0
SimulatedAnnealing,12.0
SimulatedAnnealing,12.0
SimulatedAnnealing,6.0
SimulatedAnnealing,18.0
SimulatedAnnealing,36.0
SimulatedAnnealing,12.0
SimulatedAnnealing,54.0
SimulatedAnnealing,36.0
SimulatedAnnealing,30.0
SimulatedAnnealing,12.0
SimulatedAnnealing,30.0
SimulatedAnnealing,54.0
SimulatedAnnealing,18.0
SimulatedAnnealing,12.0
SimulatedAnnealing,30.0
SimulatedAnnealing,36.0
SimulatedAnnealing,30.0
SimulatedAnnealing,12.0
SimulatedAnnealing,12.0
SimulatedAnnealing,6.0
SimulatedAnnealing,30.0
SimulatedAnnealing,18.0
SimulatedAnnealing,12.0
SimulatedAnnealing,30.0
SimulatedAnnealing,36.0
SimulatedAnnealing,12.0
SimulatedAnnealing,6.0
SimulatedAnnealing,12.0
SimulatedAnnealing,12.0
SimulatedAnnealing,36.0
SimulatedAnnealing,30.0
SimulatedAnnealing,12.0
SimulatedAnnealing,12.0
SimulatedAnnealing,6.0
SimulatedAnnealing,6.0
SimulatedAnnealing,12.0
SimulatedAnnealing,6.0
SimulatedAnnealing,12.0
SimulatedAnnealing,18.0
SimulatedAnnealing,12.0
SimulatedAnnealing,30.0
SimulatedAnnealing,36.0
SimulatedAnnealing,30.0
SimulatedAnnealing,36.0
SimulatedAnnealing,30.0
SimulatedAnnealing,54.0
SimulatedAnnealing,30.0
SimulatedAnnealing,12.0
SimulatedAnnealing,12.0
SimulatedAnnealing,12.0
SimulatedAnnealing,12.0
SimulatedAnnealing,12.0
SimulatedAnnealing,36.0
SimulatedAnnealing,36.0
SimulatedAnnealing,30.0
SimulatedAnnealing,12.0
SimulatedAnnealing,12.0
SimulatedAnnealing,30.0
SimulatedAnnealing,36.0
SimulatedAnnealing,30.0
SimulatedAnnealing,12.0
SimulatedAnnealing,12.0
SimulatedAnnealing,12.0
SimulatedAnnealing,12.0
SimulatedAnnealing,12.0
SimulatedAnnealing,12.0
SimulatedAnnealing,30.0
SimulatedAnnealing,54.0
SimulatedAnnealing,6.0
SimulatedAnnealing,30.0
SimulatedAnnealing,30.0
SimulatedAnnealing,12.0
SimulatedAnnealing,36.0
SimulatedAnnealing,30.0
SimulatedAnnealing,12.0
SimulatedAnnealing,6.0
SimulatedAnnealing,30.0
SimulatedAnnealing,12.0
SimulatedAnnealing,6.0
SimulatedAnnealing,12.0
SimulatedAnnealing,54.0
SimulatedAnnealing,18.0
SimulatedAnnealing,12.0
SimulatedAnnealing,30.0
SimulatedAnnealing,30.0
SimulatedAnnealing,30.0
SimulatedAnnealing,12.0
SimulatedAnnealing,6.0
SimulatedAnnealing,12.0
SimulatedAnnealing,18.0
SimulatedAnnealing,36.0
SimulatedAnnealing,18.0
SimulatedAnnealing,12.0
SimulatedAnnealing,12.0
SimulatedAnnealing,12.0
SimulatedAnnealing,12.0
SimulatedAnnealing,12.0
SimulatedAnnealing,12.0
SimulatedAnnealing,30.0
SimulatedAnnealing,12.0
SimulatedAnnealing,36.0
SimulatedAnnealing,12.0
SimulatedAnnealing,6.0
SimulatedAnnealing,18.0
SimulatedAnnealing,18.0
SimulatedAnnealing,30.0
SimulatedAnnealing,12.0
SimulatedAnnealing,18.0
SimulatedAnnealing,12.0
SimulatedAnnealing,36.0
SimulatedAnnealing,30.0
SimulatedAnnealing,12.0
SimulatedAnnealing,12.0
SimulatedAnnealing,12.0
SimulatedAnnealing,30.0
